Dmax,I0_real,I0_real_err,I0_recip,Rg_autorg,Rg_real,Rg_real_err,Rg_recip,estimate,file,status
,,,,,,,,,00010000-integrate_subtracted.dat,autorg_failed
16.15,0.09371,0.0002893,0.09371,5.05365,5.053,0.01833,5.039,0.818,00020000-integrate_subtracted.dat,ok
,,,,,,,,,00030000-integrate_subtracted.dat,autorg_failed
16.88,20.46,0.2091,20.46,6.69,5.876,0.04518,5.872,0.7843,00170000-integrate_subtracted.dat,ok
,,,,,,,,,buffer_after_DHX9dG_ATP_U10_050000-integrate_subtracted.dat,autorg_failed
34.63,37.17,0.8548,37.15,7.14453,9.701,0.3587,9.453,0.5781,buffer_after_DHX9dG_apo_20000-integrate_subtracted.dat,ok
,,,,,,,,,buffer_after_sample60000-integrate_subtracted.dat,autorg_failed
8.16,52.55,0.2613,52.55,2.74765,2.685,0.01285,2.684,0.8485,sample_10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_100000-integrate_subtracted.dat,autorg_failed
8.01,0.005152,7.535e-05,0.005152,2.91289,2.772,0.04004,2.77,0.6623,sample_1000000-integrate_subtracted.dat,ok
8.45,0.005849,0.0001225,0.005849,1.81367,2.182,0.1151,2.18,0.5956,sample_1010000-integrate_subtracted.dat,ok
7.86,0.004968,8.929e-05,0.004968,1.80247,2.363,0.069,2.36,0.6283,sample_1020000-integrate_subtracted.dat,ok
6.72,0.004061,0.0001018,0.004061,1.80473,2.164,0.07212,2.162,0.5432,sample_1030000-integrate_subtracted.dat,ok
5.98,0.007443,0.0001079,0.007443,2.65781,2.499,0.01983,2.5,0.7437,sample_1040000-integrate_subtracted.dat,ok
35.86,0.02282,0.001271,0.02282,9.5029,13.6,0.2804,13.61,0.7638,sample_1050000-integrate_subtracted.dat,ok
35.71,0.01444,0.001631,0.01444,8.57668,13.81,0.6049,13.84,0.8932,sample_1060000-integrate_subtracted.dat,ok
,,,,,,,,,sample_1070000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_1080000-integrate_subtracted.dat,autorg_failed
33.16,0.2772,0.001967,0.2771,5.5203,7.811,0.102,7.719,0.6657,sample_1090000-integrate_subtracted.dat,ok
,,,,,,,,,sample_10min0000-integrate_subtracted.dat,autorg_failed
23.52,463.7,2.567,463.6,5.24312,5.848,0.07013,5.789,0.689,sample_110000-integrate_subtracted.dat,ok
,,,,,,,,,sample_1100000-integrate_subtracted.dat,autorg_failed
57.48,0.05352,0.01153,0.05351,10.2178,19.53,2.784,19.47,0.6351,sample_1110000-integrate_subtracted.dat,ok
,,,,,,,,,sample_1120000-integrate_subtracted.dat,autorg_failed
11.6,0.003099,0.0001354,0.003099,4.32937,4.252,0.1068,4.25,0.7927,sample_1130000-integrate_subtracted.dat,ok
,,,,,,,,,sample_1140000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_1150000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_1160000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_1170000-integrate_subtracted.dat,autorg_failed
